sports,participants,dates,weather
Travelers Championship Round 2,Kyoung-Hoon Lee v Chez Reavie v J.J. Spaun,21 Jun @10:00 am,Patchy light drizzle
Travelers Championship Round 2,Morgan Hoffmann v Trey Mullinax v Adam Schenk,21 Jun @10:00 am,Patchy light drizzle
Travelers Championship Round 2,Chesson Hadley v Nick Taylor v Josh Teater,21 Jun @10:00 am,Patchy light drizzle
Travelers Championship Round 2,Abraham Ancer v Roger Sloan v Boo Weekley,21 Jun @10:00 am,Patchy light drizzle
Travelers Championship Round 2,Brandon Harkins v Sungjae Im v Anirban Lahiri,21 Jun @10:00 am,Patchy light drizzle
Travelers Championship Round 2,Sebastian Munoz v Seamus Power v Shawn Stefani,21 Jun @10:00 am,Patchy light drizzle
Travelers Championship Round 2,Jim Herman v Michael Kim v Satoshi Kodaira,21 Jun @10:00 am,Patchy light drizzle
Travelers Championship Round 2,Tommy Fleetwood v Russell Knox v Cameron Smith,21 Jun @10:00 am,Patchy light drizzle
Travelers Championship Round 2,Daniel Berger v Max Homa v Mackenzie Hughes,21 Jun @10:00 am,Patchy light drizzle
Travelers Championship Round 2,Keegan Bradley v J.B. Holmes v Kevin Kisner,21 Jun @10:00 am,Patchy light drizzle
Africa Cup of Nations - Group A,Egypt vs Zimbabwe,21 Jun @11:00 pm,Partly cloudy
Africa Cup of Nations - Group A,DR Congo vs Uganda,22 Jun @5:30 pm,Partly cloudy
FIFA Women's World Cup - Rnd 16,Germany Women vs 3rd Place Group A/C/D,22 Jun @6:30 pm,Cloudy
Norwegian Tippeligaen,Stromsgodset vs Molde,22 Jun @7:00 pm,Partly cloudy
Africa Cup of Nations - Group B,Nigeria vs Burundi,22 Jun @8:00 pm,Sunny
